DEPT,APPT,"FALL
2023","FALL
2022","FALL
2021","FALL
2020","FALL
2019","FALL
2018","FALL
2017","FALL
2016","FALL
2015","FALL
2014","FALL
2013","FALL
2012","FALL
2011","FALL
2010","FALL
2009","FALL
2008","FALL
2007","FALL
2006","FALL
2005","FALL
2004","FALL
2003","FALL
2002","FALL
2001"
,Visiting,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00,1.00,1.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00
,Adjunct,0.00,0.00,0.00,0.00,0.33,0.33,0.33,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.67,0.66,0.00,0.00,1.33,1.33,0.67,0.33,0.00
RELG Total,,3.00,3.00,3.16,3.00,3.41,3.41,3.33,3.08,3.66,3.00,3.00,2.66,3.00,3.00,3.00,4.66,4.00,4.00,5.33,4.00,3.33,3.33,3.00
,,,,,,,,,,,,,,,,,,,,,,,,
THEA,Tenured,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.67,1.33,1.00,1.00,0.00,1.33,0.66,0.00,0.00,0.00,0.00,0.00,0.67,0.00
,Tenure-Track,2.00,1.00,1.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.33,1.33,1.00,2.00,0.67,0.67,0.00,0.00
,Visiting,1.00,2.33,2.00,1.67,2.00,2.00,3.00,2.83,0.67,0.66,1.00,0.67,0.83,0.66,1.33,2.75,1.07,1.66,1.17,2.08,1.67,1.67,2.33
,Adjunct,0.67,1.00,1.33,0.33,0.33,0.00,0.00,0.33,1.00,0.33,0.33,0.33,0.33,1.00,0.34,0.33,0.33,0.41,0.42,0.33,0.00,0.08,0.00
THEA Total,,3.67,4.33,4.33,4.00,4.33,4.00,4.00,3.16,3.00,1.66,2.66,2.00,2.16,2.66,3.00,5.07,2.73,3.07,3.58,3.08,2.33,2.42,2.33
,,,,,,,,,,,,,,,,,,,,,,,,
WGS,Tenured,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.00,0.00,1.00,0.00,,,,,
,Tenure-Track,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,,,,,
,Adjunct,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.66,0.00,,,,,
WGS Total,,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,1.66,1.66,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SPEC,Tenure-Track,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,2.00,1.00,0.00,0.00
